full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,78750,78750,6446,469,469,34,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,80440,80440,10326,2890,2890,567,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,29296,29296,5008,1400,1400,129,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29783,29783,2287,81,81,3,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23028,23028,2199,56,56,11,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,28592,28592,1901,181,181,26,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6314,6314,1559,17,17,4,https://github.com/anthropics/claude-code-action
shanraisshan/claude-code-best-practice,17776,17776,1558,782,782,52,https://github.com/shanraisshan/claude-code-best-practice
VoltAgent/awesome-claude-code-subagents,14052,14052,1565,110,110,14,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9258,9258,1196,10,10,2,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7918,7918,568,40,40,3,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5972,5972,832,61,61,10,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5532,5532,475,10,10,2,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3715,3715,547,3,3,0,https://github.com/OneRedOak/claude-code-workflows
ykdojo/claude-code-tips,5021,5021,357,179,179,18,https://github.com/ykdojo/claude-code-tips
1rgs/claude-code-proxy,3239,3239,426,14,14,0,https://github.com/1rgs/claude-code-proxy
pedrohcgs/claude-code-my-workflow,656,656,1159,13,13,22,https://github.com/pedrohcgs/claude-code-my-workflow
disler/claude-code-hooks-mastery,3314,3314,577,6,6,1,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3631,3631,337,11,11,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5289,5289,197,-2,-2,0,https://github.com/kodu-ai/claude-coder
anthropics/skills,95069,95069,10207,887,887,126,https://github.com/anthropics/skills
Yuyz0112/claude-code-reverse,2200,2200,366,5,5,1,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6980,6980,338,18,18,-2,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
fuergaosi233/claude-code-proxy,2166,2166,312,3,3,0,https://github.com/fuergaosi233/claude-code-proxy
qwibitai/nanoclaw,23553,23553,6191,345,345,352,https://github.com/qwibitai/nanoclaw
Cranot/claude-code-guide,2494,2494,261,8,8,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3820,3820,316,20,20,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2107,2107,270,12,12,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-base-action,609,609,590,2,2,0,https://github.com/anthropics/claude-code-base-action
edmund-io/edmunds-claude-code,1330,1330,274,2,2,3,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,17080,17080,2759,398,398,48,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,453,453,614,2,2,4,https://github.com/https-deeplearning-ai/sc-claude-code-files
wshobson/agents,31426,31426,3439,110,110,4,https://github.com/wshobson/agents
ding113/claude-code-hub,1883,1883,226,22,22,0,https://github.com/ding113/claude-code-hub
Pimzino/claude-code-spec-workflow,3538,3538,247,10,10,1,https://github.com/Pimzino/claude-code-spec-workflow
eyaltoledano/claude-task-master,25952,25952,2451,10,10,0,https://github.com/eyaltoledano/claude-task-master
obra/superpowers,88618,88618,7001,2726,2726,244,https://github.com/obra/superpowers
snarktank/ralph,13034,13034,1378,87,87,6,https://github.com/snarktank/ralph
siteboon/claudecodeui,8517,8517,1095,50,50,6,https://github.com/siteboon/claudecodeui
FlorianBruniaux/claude-code-ultimate-guide,1598,1598,261,38,38,6,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
EveryInc/compound-engineering-plugin,10474,10474,839,44,44,8,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1306,1306,193,2,2,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,963,963,221,2,2,0,https://github.com/sugyan/claude-code-webui
